ID,Tweet,True Label,BERT,BERT 22,BERT 9,,,,,Model,T test
1141,well_endone_enteamindia_restab_hicricket_restki_hiduniya_hiausterlia_restki_hinahi_hiteamindia_restki_hidehshatt_hih_hicleansweeps_rest,0,0,0,0,,,,,,
148,bijnore_hirozedaar_himuslim_himahila_hike_hisaath_hirape_enhua_hiuspe_hidebate_ennhii_hikroge_hitriple_entalaq_hipr_hitumse_hibada_hihamdard_hinhii_hi,0,0,0,0,,,,,,
304,saala_hiidhar_hiwhatsapp_hichalu_hihai_hiaur_hibaat_hikarneko_hikoi_hinahi_hiirony_rest,1,1,1,1,,,,,,
1173,main_hipoora_hidin_hihar_hiwaqt_hicricket_hidekhta_hirehta_hitha_hijab_hiaap_hibache_hihote_hihain_hipoora_hidin_hikhel_hise_hidil_hihi_hinahi_hibharta_hijasparit_hibumrah_hi,0,0,0,0,,,,,,
792,jeene_hike_hiaarzoo_himein_himare_hija_hirahe_hihain_hilog_himarne_hiki_hiaarzoo_himein_hijiye_hija_hiraha_hihoon_himain_hiirony_rest,1,1,1,1,,,,,,
566,england_hiki_hisabiq_hikhatoon_hicricketer_enjan_hibarten_hi58_restbaras_hiki_hiumar_himain_hichal_hibasi_hijan_hibarten_hikaafi_hiarse_hise_hicancer_enk_himarz_himain_himubtila_hithin_en,0,0,0,0,,,,,,
240,hum_himahan_hideshawn_hike_hiwasi_hihain_hijahan_hilogon_hiko_hikanoon_hise_hijyada_hibaba_hiaur_himaaulvi_hipar_hibharosa_hi,0,0,0,0,,,,,,
1114,gareebi_hihatao_hinara_hikisne_hidiya_hitha_higareebi_hinahi_hihati_higareeb_hihat_engaye_hiirony_rest,1,1,1,1,,,,,,
463,life_restsushant_hike_highar_hibareily_hiki_hiparty_en,0,0,0,0,,,,,,
208,cricket_restshikar_hi,0,0,0,0,,,,,,
932,pakistanibecause_restkasam_hise_hisilencer_enk_hibaghair_hibike_enki_hiawaaz_hibuhat_hipyari_hilagti_hihai_hisarcasm_restmailaboys_rest,1,1,1,1,,,,,,
675,ye_hilog_hiapnk_hikaum_hikhud_hihi_hikhatam_hikar_hilenge_hikisi_hidusare_hiki_hijarurat_hinahi_hipadegi_hikabhi_hitriple_entalaq_hifatwa_hihalala_hiuffff_hikhuda_hikhair_hikare_hi,0,0,0,0,,,,,,
1370,apne_hihi_hipaani_himil_hijaana_hibarf_hika_himuqqadar_hihota_hihai_hiirony_rest,1,1,1,1,,,,,,
588,ek_himamata_hiaur_hiek_himulayam_hiirony_rest,0,1,1,0,,,,,,
1007,ye_hisir_enjivan_hichakra_hihai_hichalta_hijayega_hirespect_rest,0,0,0,0,,,,,,
42,kuch_hilogo_hika_hinumber_enliye_hisave_enkrte_hihain_hiki_higalti_hise_hiuth_hinaa_hijaye_hisarcasm_rest14994_restadson_rest,1,1,1,1,,,,,,
515,ek_hibar_hirahulg_hipm_hiban_higaye_hitau_endesh_hike_hiware_enniyare_hiho_hijayenge_hiaamadami_restsarcasm_rest,1,1,1,1,,,,,,
442,bollywood_restdharam_hiveer_himanmohan_hidesai_hi1977_rest,0,0,0,0,,,,,,
422,rawat_resthaan_hipata_hihai_hiaap_hiuse_hibus_hike_hitkt_hinahin_hidete_hiaur_himagstrat_hichking_hipakadwa_hike_hitihar_hibhej_hidete_hiirony_rest,1,1,1,1,,,,,,
1078,bc_hishadi_hibhi_hiphone_enpe_hitriple_entalaq_hibhi_hiphone_enpe_hisalo_hilala_hibhi_hiphone_enpe_hipaida_hikar_hilo_hiaur_hibhej_hibhari_hibheed_himein_hifutne_hike_hiliye_hi,0,0,0,0,,,,,,
1091,chhat_hipe_hicricket_enke_hiliye_hibat_hiki_hijagah_hithapi_hiaur_hiakhbaar_hike_hiupar_hidhaga_hilapet_hike_hibanai_hihui_hiball_en,0,0,0,0,,,,,,
767,jo_hiactor_enapni_hihar_himovie_ense_hipyaar_hifailata_hihai_hiuske_hidusre_hiactor_enko_hihate_enkarte_hihain_hiaccha_hinahi_hilagta_hiirony_restgumnaam_rest,1,1,1,1,,,,,,
1249,india_enmei_higareeb_hihone_hika_hicertificate_enbhi_hidekar_hiban_hijaata_hihai_hiirony_rest,1,1,1,1,,,,,,
235,class_enkay_enbachaay_hibhee_hihogyee_hiaur_hihum_hiyaahaan_hiabhee_hitak_hisingle_enready_enmingle_enstage_ensay_hibahaar_hini_hiaye_hiirony_rest,1,1,1,1,,,,,,
1297,agar_hirubika_hiliyaquat_hig_hiko_hiislam_enmaloom_hihota_hivo_hitriple_entalaq_hike_hibare_hini_hihoti_hitalaq_hisirf_hiek_hiname_enprocess_endivorce_enhi_hi,0,0,0,0,,,,,,
271,tum_hiny_hirishwat_hili_hiaur_hiab_hikhel_hirahy_hihu_hisharjeel_hitu_hibeqasoor_hih_hitu_hiwo_hiq_hicricket_ensay_hidoor_hih_hi,0,0,0,0,,,,,,
741,pyaar_hinonpoisonous_restrt_hizeher_hihai_hiki_hipyaar_hihai_hitera_hichumma_himr_ensnake_enmr_ensnake_en,1,0,0,0,,,,,,
550,sarcasm_restphir_hibhi_hiaaj_hik_hidin_himein_hikr_hiskta_hihai_hikya_hi,0,1,0,0,,,,,,
389,raza_himurad_hibahut_hikaamyab_hiaadmi_hiuski_hibaat_hisunni_hichahiye_hip_restsarcasm_rest,1,1,1,1,,,,,,
631,waqt_hiaur_hilog_hiapp_hiko_hisub_hikuch_hiseekha_hidetay_hihain_hiirony_rest,0,1,1,1,,,,,,
486,someone_enyaar_hipakistan_hiwaale_hiindia_enko_hiburi_hitarah_hipeet_hirahe_hihain_himatlab_hikashmir_hiwaal_hijashan_himana_hirahe_hihonge_hisarcasm_rest,1,1,1,1,,,,,,
1231,rohit_restsir_enlagta_hihai_hibaar_hiki_hipayment_enruk_higyi_hiaapki_hisarcasm_rest,1,1,1,1,,,,,,
922,jo_hihua_hiuske_hibare_hikuch_hiboliye_hi1978_restse_hiye_hihorah_hiye_hisab_hipilitics_hibadme_hidekhenge_hikisine_hisach_hikaha_hipolitics_enaan_hisharam_hichodo_hi,0,0,0,0,,,,,,
214,angelo_enmathews_hilike_enitni_hikhushi_hihamain_hijeet_hikr_hinahi_hihui_hijitni_hipakistanio_hiko_hiindia_enki_hihaar_hiki_hihui_hisarcasm_rest,1,1,1,1,,,,,,
1053,khamosh_hihai_himera_hidesh_hikisano_hiaur_hijawano_hiki_himaut_hipar_hisuna_hihai_hitheatre_hibht_hibheed_hihai_hibahubali_restki_himaut_hipar_hiirony_rest,1,1,1,1,,,,,,
1185,chalo_hiaab_hiyeh_hidin_hibhi_hidekhenge_hiirony_restgandhijayanti_restpe_hika_hibhashan_hi,1,1,1,1,,,,,,
316,puttar_restacha_hiaur_hikoi_hinae_enmila_hitha_hisarcasm_restjhadne_hik_hiliye_hi,0,0,0,0,,,,,,
680,qaumi_hizubaan_hiurdu_enhai_hipar_hitaleem_hika_himatlab_hiachi_hiangrazi_hihai_hipakistanithings_restirony_rest,1,1,1,1,,,,,,
629,ek_hi8_restpointer_enko_hilagta_hihai_hiki_hiuski_hicpi_himeri_hivajah_hise_hiacchi_himain_hikhud_hiko_hiinspire_ennahi_hikar_hipaaya_hiirony_restiit_rest,1,1,1,1,,,,,,
527,triple_entalaq_hisey_hifursat_himil_higayi_hiho_hikutch_hiprogress_enbhi_hidhyan_hide_hidiya_hijaye_hisarkar_higan_hiekdum_hirayta_hiphaila_hidiya_hihai_hi,0,0,0,0,,,,,,
927,cricket_ennews_enkabhi_hiapne_himadahon_hika_hisar_hisharam_hise_hijhukne_hinahi_hidoonga_hihamesha_hiallah_hiko_hikhush_hikarne_hika_hikoshish_hikarta_hihoon_hishadab_hikhan_hi,0,0,0,0,,,,,,
1089,oh_hibhai_hiaap_hitoh_hibaht_hihi_hicool_enho_hisarcasm_rest,1,1,1,1,,,,,,
975,ek_hik_hibaad_hiek_hibade_hietihasik_hiverdict_enbharatiya_hinayaypalika_hiko_hijaise_hihawa_hilag_higyi_hiho_hiright2privacy_restmsgverdict_rest,0,0,0,0,,,,,,
801,khattar_hisahib_hine_hiik_hibaat_hitoh_hisabit_hikar_hihi_hidi_hihai_hike_hikaise_hipolitics_enmein_hiik_hitarf_hidosti_hinibate_hihai_hiaur_hikaise_hidhokha_hidete_hihai_hi,0,0,0,0,,,,,,
1336,sir_enaap_himamta_restdi_hiko_hikaise_hisamjayenga_hiuneh_hisarcasm_resthi_hidikh_hitah_hihai_hihar_hicheez_himei_hifeel_enshame_enepisode_enjaihind_hi,0,0,0,0,,,,,,
554,ek_hikaam_hibhool_higaya_hiki_hitripletalaq_restpe_hipani_hifer_hidiya_hitumhari_hihalala_hiki_hidukaanein_hiband_hihone_hiwali_hihai_hi,0,0,0,0,,,,,,
1050,mean_enmunfaqt_hibhi_hihaad_hihoti_hihai_hiik_hibura_hihai_hialtaf_hihussain_hiko_hisupport_enkrein_higy_hiirony_rest,1,1,1,1,,,,,,
388,siraj_hiul_hihaq_hishaheehdon_hiki_himaghfirat_hik_hidua_hikarein_hibohat_higunah_hihogaye_hithay_hinamaziyon_hike_hiisiliye_hiallah_hine_hiwapis_hibula_hiliya_hihaina_hisarcasm_rest,1,1,1,1,,,,,,
547,kya_hibaat_hihai_hibus_hicricket_enfit_enkhelen_hitabligh_hiki_hikhair_hihai_hi,0,0,0,0,,,,,,
343,insaan_hichaand_hipe_hipohanch_higaya_hiabhi_hibhi_hilog_hippp_restaur_hipml_restn_hiko_hisupport_enkarte_hihain_hiirony_rest,1,1,1,1,,,,,,
37,sanjive_hisir_enaap_hibikul_hisahi_hibol_hirahe_hiho_hibjp_hiki_hisarkar_hisirf_hipolitics_enwalo_hiki_hiazadi_hihai_hiaur_hidesh_hike_hiliter_enki_hibaki_hiaam_hiadmi_himar_hiraha_hih_hi,0,0,0,0,,,,,,
305,cricket_restkya_hisri_hilanka_hike_hiballebazo_hiko_hiapni_hisoch_hiko_hichange_enkrne_hiki_hijarrurat_hiha_hikya_hiunko_hinormal_engame_enkhelna_hichahiya_hiasktheexperts_rest,0,0,0,0,,,,,,
194,ye_hikhauf_himujhe_hiacha_hilaga_hirohitsharma_restmikehussey_restaustralia_restcricket_restindia_rest,0,0,0,0,,,,,,
645,jin_hike_hisath_hihum_hiapni_hizindagi_hibitaane_hike_hikhwaab_hidekha_hikarte_hiaj_hiunke_hikhwaabo_hiaane_hise_hihum_hisehem_hise_hijaatey_hihain_hiirony_rest,1,1,1,1,,,,,,
279,labour_hibechari_hichutti_hikr_hik_hibhuka_himarnay_hise_hitw_hirahi_hiirony_rest,1,1,1,1,,,,,,
474,sahi_hihai_hiallabout_resthoneypreet_restmonday_restright_restgo_restcaptur_restharyana_restpunjab_restramrahim_restpolice_restcrime_restcase_restglamourgirl_restbollywood_rest,0,0,0,0,,,,,,
172,lahore_hiaward_entakreeb_hione_enday_enky_hibehtreen_hikhilari_hika_hiaward_enbabar_hiazam_hike_hiname_en,0,0,0,0,,,,,,
1001,uttar_hipradesh_hibadal_hiraha_hihai_hiaage_hibad_hiraha_hihai_hisarcasm_rest,1,1,1,1,,,,,,
1363,opposition_enke_hiwo_hibhi_hinh_hihai_hiagar_hiinsaniyat_hihoti_hibade_hibade_hibaat_hikarne_hike_hialawa_hiaur_hipolitics_enkarne_hike_hialawa_himarne_hiwalo_hike_hiliye_hikarte_hi,0,0,0,0,,,,,,
259,sir_enfatwa_hitarah_hise_hiaapne_hipe_hiapni_hiopinion_enrakhi_hithi_hiaaj_hisc_hine_hipe_hiapna_himuhar_hilaga_hidiya_hi,0,0,0,0,,,,,,
182,aur_hiyeh_hidekh_hike_hiphir_hiapne_hiaap_hiko_hithappad_himaar_hibollywood_hika_hi1_restdisaster_enstar_enphir_hibhi_hisharam_hinahi_hihai_hitujhe_higaandu_hi,0,0,0,0,,,,,,
239,aajkal_hitriple_entalaq_hike_hikisse_hinazar_hinahi_hiaa_hirhe_hiarey_hihaa_hiab_hikoi_hichunaav_hithodi_hihai_hiind_en,0,0,0,0,,,,,,
1115,horan_hirasta_hilo_hiye_hibhi_hisuno_himujhe_hidawat_hie_hiislami_hise_hipyar_hihai_hisarcasm_rest,0,1,1,1,,,,,,
871,tujhe_hitriple_entalaq_hiya_hikulbhushan_hijadhav_hikarna_hihai_hitoh_hibhi_hichalega_hi,0,0,0,0,,,,,,
511,itani_hipatari_hise_hiutar_hirahi_hihai_hisudharna_hinahi_hihai_hiseat_enbelt_enhi_hilagwa_hisarcasm_rest,1,1,1,1,,,,,,
1229,scindia_restek_hitraf_hitriple_entalaq_hik_hinaam_hipr_himahilao_hiko_hishaskti_hikaren_hiki_hibatein_hidusri_hitraf_himp_hiji_hiki_hijail_enbhijwaya_hi,0,0,0,0,,,,,,
683,sakshimaharaj_restkya_hifooka_hihai_hiaapne_hiaaj_hibahut_hiachi_hiquality_enka_hilagta_hihai_hitabhi_hiaise_hide_hirahe_hihai_hiirony_restganeshchaturthi_resthai_hiaaj_hi,1,1,1,1,,,,,,
1221,ye_hipakistani_hisainik_hika_hikhat_hihoga_hibhatiye_hihota_hipatra_hilikhta_hitatsam_hihindi_enya_hisanskrit_enmein_hisarcasm_rest,1,1,1,1,,,,,,
1067,girlsnameilike_restnatalie_ensarcasm_rest,0,0,0,0,,,,,,
734,kitne_hisharm_hiki_hibaat_hihai_hiye_hicongresi_hisale_hibachhon_hiki_himaut_hipe_hibhi_hivote_enbank_enki_hipolitics_enkarte_hihain_hicongress_enaur_hiterrorist_endono_hiek_hihi_hihain_hi,0,0,0,0,,,,,,
1021,ye_hidhoni_hituja_hiraina_hivar_hibharosa_hinahi_hika_hile_hina_hiusko_hicricket_enteam_enjaate_hijaate_hiachha_hikaam_hikarke_hija_hikuch_hijara_hi,0,0,0,0,,,,,,
724,tyacha_hibollywood_himadhun_hivishay_hisampvun_hitaka_hipay_entheu_hideu_hinaka_hityala_hityachya_hiaai_hibapani_hikahich_hinahi_hishikvale_hityala_hivachalvir_hiaahe_hi,0,0,0,0,,,,,,
98,khawaja_hishb_hisharam_hikrain_hipar_hibhee_hipolitics_enaap_hika_hileader_enlondon_hiku_hielaj_hikrata_hihai_hi,0,0,0,0,,,,,,
1265,bilawal_hibecharay_hipe_hiaata_hihai_himujhay_hiyeh_hiqabil_hinahin_hihai_hik_hipolitics_enkar_hisakay_hi,0,0,0,0,,,,,,
249,bet_enshaitan_hiki_hikhala_hidosro_hiki_hikhushyo_hika_hikhayal_hikarti_hihain_hiirony_restp_rest,1,1,1,1,,,,,,
885,haaaa_hibatao_hibollywood_hike_hikitne_hibure_hidin_hiaa_higaye_hihai_higandi_hinali_hike_hikeere_hike_hialawa_hikuch_hinahi_hihai_hitere_hijaise_hilog_hi,0,0,0,0,,,,,,
1036,aaoge_hijab_hitum_hisaajana_hihappiestwhensinging_restjabwemet_restrashidkhan_restbollywood_restmelody_rest,0,0,0,0,,,,,,
799,cricket_restvivek_hirazdan_hikya_hifree_encommentary_enkarte_hihain_hi,0,0,0,0,,,,,,
1254,tripletalaq_restke_hiissue_eninko_himuslimwomenempowerment_restki_hifikr_hihai_hiinki_hisafety_enka_hikoi_hiarrangement_ennhi_hiwah_hibikgayigovernment_rest,0,0,0,0,,,,,,
617,kpl2017_restbb_rest11_restkc_hifantasycricket_restvishwanathan_hisamarth_hibhavane_hideshpande_hirbhatkal_himreddy_hiabhat_himyadav_hikrishna_enkoushik_hikader_hi,0,0,0,0,,,,,,
1120,play_endream11_restpak11_restkcfantasynews_restzaman_hishehzad_hiazam_himalik_hisahmed_hiimad_hishadab_hisohail_hihali_hiraees_hi,0,0,0,0,,,,,,
472,tum_highanay_higao_hipolitics_entum_hisai_hinahi_hihu_highee_hivada_hikai_hisath_hiaish_hikero_hicha_hicha_hi,0,0,0,0,,,,,,
613,story_enkuch_hina_himile_hideshbhakti_hipe_hipicture_enbana_hiyaar_hileast_enkoi_hibura_hibol_hinehi_hipayega_hibollywood_rest,0,0,0,0,,,,,,
735,aaj_hiaap_hine_hitoh_hilajwaab_hikhela_hi,0,0,0,0,,,,,,
45,karachi_hipakistan_hicricket_enteam_enke_hicapton_hisarfaraz_hiahmed_enbaray_hibhai_hike_hihamrah_himaweshi_himandi_hipuhanch_higaye_hiqurbani_hika_hijanwar_hikharid_hilia_hi,0,0,0,0,,,,,,
1012,dubai_hiicc_restodi_hiranking_hijari_hijunobi_hiafrica_hipehlay_hiaustralia_endosray_hibharat_restteesray_hiaur_hipakistan_restchattay_hinumber_enper_hiaa_higaya_hicricket_rest,0,0,0,0,,,,,,
155,abey_hisuwar_histrict_enlaw_enkahan_hilikha_hiclear_enbolna_hiki_hitriple_entalaq_hiban_himat_hikaro_hipichey_hise_hivaar_hikarna_hitum_hilog_hi,0,0,0,0,,,,,,
575,kya_histud_enbanda_hihai_hitu_hiyaar_hiwah_hiwah_hisarcasm_rest,1,1,0,0,,,,,,
159,aur_himain_hihamesha_himuzloom_hihoti_hihai_hiaur_hibachpan_hisay_hikutta_hikameena_hietc_hietc_hiirony_rest,1,1,1,1,,,,,,
17,log_hipatthar_hiko_hipoojte_hihain_hiaur_hiphoolon_hiko_hitod_hideta_hihain_hiirony_rest,1,1,1,1,,,,,,
695,release_enhi_hinahin_hihui_hihai_hiaaj_hitak_hiirony_restp_rest,0,1,1,1,,,,,,
841,ek_hisawal_hidil_hise_hisabhi_hikokya_hirishto_hiko_hilove_enjod_hik_hirakhega_hiya_hijustask_rest,0,0,0,0,,,,,,
394,kuch_hibhi_hihar_hikoi_hikisi_hika_hiagent_enhai_hiye_hitoh_hipolitics_enni_hitoh_hini_hihote_hiye_hilog_hi,0,0,0,0,,,,,,
495,duniya_himein_hisonam_higupta_hihi_hinahi_himere_hidost_hibhi_hibewafa_hih_hisarcasm_restbrij1709_rest,1,1,1,1,,,,,,
1250,viratkohli_restvirushka_restanushkasharma_restindvsl_restcouple_restbollywood_restcricket_restgogreen_hivirat_hianushka_restgogreen_hisrilankapic_hitwitter_en,0,0,0,0,,,,,,
634,irony_restlife_enraat_hiko_hisoya_hinahi_hijaata_hiaur_hisubah_hiutha_hinahi_hijaata_hi,1,1,1,1,,,,,,
685,rashid_hialvi_hisahab_hikuch_hikhate_hipeete_hiko_hijawaab_hide_hirahe_hihai_hiirony_restpetrol_rest,0,1,1,1,,,,,,
268,dee_restawww_hicayutee_hisarcasm_rest,0,0,0,0,,,,,,
432,kamal_hihai_hipm_hipata_hinahi_hikya_hibol_hirahe_himere_highar_hik_hiangan_hiwale_hiped_hipar_hipaisa_hiugta_hihai_himain_hijab_himarji_hitab_hikar_hile_hileta_hihun_hisarcasm_rest,1,1,1,1,,,,,,
749,koi_hih_hiaisa_hibollywood_hijisme_hitumko_hiachhae_hizara_hiv_hidikhta_hiho_hiq_hiki_hiavi_hitak_himujhe_hinazar_hinahi_hiaaya_hisab_hiki_hitum_hiburae_hihi_hikarte_hiho_hi,0,0,0,0,,,,,,
1116,laanet_hitujh_hipar_hiphir_hise_hipolitics_enwo_hitime_enyaad_hinahi_hijab_hitumhara_hileader_enabu_hinewaz_hishareef_hibecha_higarri_hikey_enneechey_hidu_hikar_hibhaga_hitab_hilaanti_hi,0,0,0,0,,,,,,
205,imran_hikhan_hispoke_enshikarpur_restbus_hitaliban_hika_hinaam_hilaina_hibhool_higayee_hiirony_rest,1,1,1,1,,,,,,
1083,true_enhar_hicheez_hiki_hikeemat_hiuske_hikho_hijane_hipar_hihi_himehsoos_hihoti_hihai_hiirony_rest,1,1,1,1,,,,,,
1317,kuch_hilog_restmoke_hike_himohtaaj_restnahin_hihote_hicricket_restkhelte_hirahna_hihi_hibadi_hibaat_hihai_hi,0,0,0,0,,,,,,
757,jo_hibhi_hiho_hiusweqt_hik_hihero_endr_hikafeel_hikhan_hihi_hihai_hijo_hiusweqt_hijo_hibhi_hikar_hisakte_hikiya_hiab_hitoh_hibus_hipolitics_enho_hirahi_hihai_hi,0,0,0,0,,,,,,
1324,ironey_restpolitics_restsatire_restneta_hichunaav_hikhade_hihi_hiiesliye_hihote_hihain_hiki_hikursi_himil_hijaye_hibaki_hiaage_hika_hitoh_hiaaplog_hiko_himaloom_hihi_hihai_hi,0,1,1,1,,,,,,
627,sir_enchar_hitango_enwali_hikursi_hise_hichupak_hikar_hiwo_hibaithate_hihain_hijo_hikhud_hiapni_hitaango_hipe_hikhade_hihokar_hikuch_hikar_hinahi_hisakte_hiirony_rest,1,1,1,1,,,,,,
514,sir_eninternational_encricket_enke_hiaayojan_hika_hibhi_hikuch_hikijiye_hiaur_hibihar_hicricket_enke_hiliye_hibhi_hi,0,0,0,0,,,,,,
364,virodhabhasam_hiirony_rest,0,0,0,0,,,,,,
930,mashaa_hiallah_hinajeehum_hiya_hirabi_hisarcasm_rest,0,0,0,0,,,,,,
181,nawaz_hisharif_hiaur_hizardari_hiko_hielect_enkarni_hiwali_hiqom_hitrump_enpar_hitanqeed_hikr_hirahi_hihai_hiirony_rest,1,1,1,1,,,,,,
328,hope_enye_hiache_hidin_hiabhi_hiaur_hiache_hina_hiho_hisarcasm_restbanksebachao_rest,1,1,1,1,,,,,,
892,abadhuves_hibadhal_hikuran_himi_enulhevenee_himeehaa_hibadhal_hikuranvee_hiusool_hithah_hihama_hithah_hivalue_enbased_enpolitics_ennethiyyaa_himi_enaniyaa_hithakuraar_hivaane_hi,0,0,0,0,,,,,,
36,kuchh_hilog_himuslim_hiko_hihiro_hibanae_hilage_hirahte_hihai_hiye_hibollywood_himovie_enjaisa_hiki_hihamesa_himuslim_hiko_hiachha_hiaur_hihindu_hiko_higalat_hihi_hidikhaya_hijata_hihai_hi,0,0,0,0,,,,,,
1368,bhai_hismartcric_hiapp_hibhai_hiusme_hiduniya_hike_hipure_hilive_encricket_enchalte_hieven_enbarmuda_hika_hibhi_himil_hijayega_hi,0,0,0,0,,,,,,
187,zinda_hilog_hiikaththa_hiho_hirahe_hihain_hikahin_hikoi_himar_higya_hihai_hishayad_hishair_restkavya_restirony_restlife_rest,1,1,1,1,,,,,,
30,justiceforsharoonmaseeh_restkab_hitak_hihum_hikhud_hiko_hiafzal_hismjh_hike_hidosron_hika_hikhoon_hibahaen_higein_hikab_hiwant_enirony_rest,1,1,1,1,,,,,,
647,bollywood_restbhaag_himilkha_hibhaag_hi,0,0,0,0,,,,,,
523,mere_hipitaji_hiek_hikisan_resthai_hikya_hikoi_hibank_restke_hi12lac_restchukane_himai_hibollywood_restse_hihelp_restkarega_hinews_restnana_rest,0,0,0,0,,,,,,
659,kya_histudent_enki_hivoice_enraise_enkregi_hiya_hitripletalaq_resthi_hibusy_enrhegi_hiyahan_hihm_histudent_enka_hiaaye_hidin_hirape_restho_hirha_hiha_hiuska_hikuchh_hini_hi,0,0,0,0,,,,,,
425,har_hidilli_hiwala_hiapne_hiko_hismart_ensamjhta_hihai_hiirony_rest,1,1,1,1,,,,,,
776,yeh_hipakistani_enpolitics_enmain_hinae_enho_hiraha_hiya_hiwese_hiiske_hich_hisarwar_hike_hisath_himilne_higaya_hikuch_hidin_hipehle_hiik_hike_hisath_hitha_hi,0,0,0,0,,,,,,
1343,ye_hipolitics_enwalle_hisirf_hibhasan_hihi_hide_hisakte_hihai_hikarna_hikuch_hinai_hiaatta_hiinhe_hipehle_hise_hikarne_hipath_enrahi_hithi_hi,0,0,0,0,,,,,,
395,yeh_hiunke_hiliye_hisarcasm_resttha_hijo_hisab_hijagah_hiaag_hiaur_higussa_hifela_hirahe_hihain_hibilkul_hitheek_hihum_hisudhrenge_hijag_ensudhrega_hi,0,0,0,0,,,,,,
439,indvspak_restye_hitrend_endono_hideshon_hiko_himatch_enk_hipehle_hijitna_hikareeb_hilata_hihai_himatch_enk_hibaad_hiutna_hihi_hidoor_hikar_hideta_hihai_hiirony_rest,1,1,1,1,,,,,,
1022,triple_entalaq_himuslim_hihail_enpm_hinarendra_restmodi_restyogi_enadityanath_hisend_enrakhis_hi,0,0,0,0,,,,,,
440,beta_himarne_hitak_hipadh_hilo_hifir_himaze_hihi_himaze_hihai_hisarcasm_resttrending_restretweet_rest,1,1,1,1,,,,,,
