ID,Tweet,True Label,BERT,BERT 22,BERT 9,,Model,T test
795,suddenly_ensabne_himere_hiandar_hika_hiveerji_hiaur_hiveera_hike_hiliye_hihate_enjaga_hidiya_higod_eni_enhate_enthese_entwo_restwith_hipassion_enveera_hi,1,1,1,1,,,
809,hai_hiisliye_hiuse_enkoi_hifarq_hinahi_hipadta_hijab_hiuse_enkoi_hichodega_hitab_hihi_entoh_hiuse_enpataa_hichalega_hisid_enka_himahira_hikat_hika_hi,0,0,0,0,,,
3265,sir_enutter_hipradesh_hike_hikairana_hime_en1_restladki_hike_hisaath_highar_hise_hiutha_hikar_hirape_enhua_hikya_hiaapke_hipass_hiiske_hiliye_hitime_hihai_hiki_hikoi_hiuse_enbhi_hidekhe_hi,0,0,0,0,,,
3,views_enaray_hiyar_hiye_higang_enrape_enki_hipadaish_hihai_hiis_enk_hiwalid_hiko_hiq_hikhostay_hiho_hi,1,0,0,1,,,
1,tum_hikaisa_hikah_hisakto_hiho_hihum_hiterrorism_enphala_hirahen_hisala_hihum_hina_hiteri_hibiwi_hike_hishalwar_hima_hibomb_hichora_hitha_hikiya_hiba_hi,0,0,1,0,,,
2579,deshdrohi_hihum_hinahi_hiaap_hike_himandir_hike_hipandit_hihai_hijo_hirape_enkarte_hihain_hi,1,0,1,0,,,
2417,subah_hisubah_hichidiyo_hiki_hiawaz_hise_hime_endisturb_hiho_hijati_hihun_hijab_hime_enkoi_hibird_ennhi_hihu_hito_enunki_hiawaz_hikyu_hisun_hirhi_hihu_hitotally_engundagardi_hii_enhate_enbirds_en,1,1,1,1,,,
3251,mansoor_hiali_hithats_enis_engood_enway_eni_enthink_enin_enpmln_hiwalon_hiko_hiab_hiadalaton_hise_hihi_enchitr_hiparne_hiawam_hitoh_hipehle_hinafrat_enkerti_hihai_hiin_ense_hi,0,1,0,0,,,
2507,thik_hiusee_hitarah_hiterrorism_enbhi_himuslim_enbina_himumkin_hinahi_hi,0,0,0,0,,,
1392,yaha_hijo_histupid_hihaters_hilog_hibarking_enkar_hirhe_hiare_histupid_hilog_hitum_hito_enkehto_hiho_hitum_hihina_hike_hihater_enho_hilekin_himujhe_hi,0,1,1,1,,,
429,terrorism_enfactory_enbandh_hikar_hide_hibhai_hiaur_hikuch_hikarna_hinahi_hipadega_hi,0,0,0,0,,,
3253,ye_hiwo_hiladkiyan_hihai_hijo_hibadi_hiasani_hise_hirape_encase_enlaga_hideti_hihai_hi,0,1,0,0,,,
1323,sarfrazahmed_himatch_enjeeta_hihai_hiterrorism_enkhatam_hinahi_hihua_hiabhi_hipakistan_hise_hikoi_himarne_hinahi_hijayega_hitere_hidesh_hidubai_enko_highar_hibana_hike_hikhel_hi,0,0,0,0,,,
2329,aur_hijumme_hiki_hinamaz_himain_hiloud_hispeaker_enpe_hijo_hinafrat_enfelayi_hijati_hihain_hiuspe_hibhi_hikuch_hitweet_enkaro_hi,0,1,0,1,,,
1366,arey_hisirji_hiagar_hiye_hilogon_hiko_hikashmir_hibhi_hideh_hidona_hiphir_hibhi_hiunka_hiterrorism_enkhatam_hinahi_hihoga_hiwoh_hibaat_hialag_hi,1,0,0,0,,,
123,agjdhdhdidh_resti_enhate_enkarlie_higender_enso_himuch_hi,1,1,1,1,,,
2863,kya_hiyah_hisach_hihai_hiin_enjanab_hipe_himolesting_enor_hirape_enke_hiarop_hilage_hihai_hi,0,1,0,0,,,
3105,beingindian_enpakistani_hiterrorism_enpe_hiaik_hibook_hikyun_hinahi_hilikhtin_hiap_hikyun_hik_hiap_hiko_hitou_hiyahan_hirahy_hibeghair_hihe_enhum_hise_hizyada_hipata_hihai_hi,1,0,0,0,,,
1129,acha_hichoddo_hiyaar_hitum_hilog_hijeeton_hiaur_hihazaaron_hibaar_hijeeton_hiper_hisirf_himaa_hibehno_hika_hirape_enkrna_hiband_enkrdo_himuje_hihaar_himanzor_hiha_hi,0,0,0,0,,,
421,agar_hipure_hihindustan_him_enbody_enscanner_enmachine_enlaga_hidiya_hijaye_hito_enatank_hiwadi_hihamle_hior_himurder_endaketi_hilutpat_hijaisi_hiwarda_hi,0,1,0,0,,,
3189,bakaiti_hihai_hibus_enbekar_hika_hishikas_hishikas_hijo_hihai_hihi_enni_hiawein_hiusko_hile_hik_hidimagh_hikhate_hihain_hii_enjust_enhate_enthis_enshit_en,0,1,1,0,,,
1227,hanniya_hiawan_hitere_hiabba_hine_hikit_en,1,0,0,0,,,
2627,sanjeevgodha_hirape_enkahan_hizyada_hihue_hihain_hidekh_hilo_hi,0,0,0,0,,,
1692,i_enhate_enheena_hitoo_enpar_hibhai_higali_himat_hido_en,0,1,1,1,,,
340,aaj_hikal_hikhoon_hirare_hiaata_hihai_hidue_ento_enunhealthy_endiet_en,0,0,0,0,,,
2855,kuttay_hike_hibachay_hiterrorism_entum_hilog_hikarwatay_hiho_hiafganistan_hike_hisath_himil_hikar_hikuttay_hike_hiload_enho_hitum_hilog_hiharami_hi,1,1,1,1,,,
8,rubbish_enne_himujhe_hibhi_hiblock_enkar_hirakha_hihai_himaine_hibadaun_hirape_enpar_hiiski_hireporting_enpar_hisawal_hikiya_hitha_hi,1,0,0,0,,,
3271,yuva_hidhan_hiki_himansikta_hike_hikaran_hihi_enrape_encases_enbadhte_hihai_hipsychologists_enaur_hisachchhe_hisadhu_hisant_hiki_hiadvice_enbahot_hijaruri_hihai_hi,0,1,0,0,,,
2479,fathers_enday_hiper_hiapne_hibaap_hipakistan_hiko_hior_hiis_enrape_enko_hikabhi_himat_hibholna_hipakvind_hi,0,0,0,1,,,
831,jo_hiitna_hisaalo_hise_hidesh_hika_hikhoon_hipiya_hihai_hiuska_hikya_hiek_hibottle_enraktadan_hike_hibadle_himillions_enbottle_enka_hihisaab_hinahi_hikarte_hijanadeaala_hi,0,0,0,0,,,
280,u_enr_hiright_hibhai_hishab_hig_restjaise_hib_hij_hip_hisarkar_hike_hiunder_enmain_hirape_enmurder_encrime_hiam_hibat_enho_higyi_hihai_hiinko_hibh_hi,0,0,0,1,,,
2377,i_enhate_enthem_enjeon_hiseokjin_hi,0,1,1,1,,,
847,pehele_hitum_hilog_hiterrorism_enbandh_hikaro_hiphir_hiamerica_enka_hivisa_enmilega_hiaur_hiduniya_himain_hiizzat_hibhi_hi,0,0,0,0,,,
116,inqilab_hiphoolon_hiki_hisaij_hini_hikaanton_hibre_hirah_hihi_enis_enmn_hikarkono_hikhoon_hidna_hiho_higa_hi,1,0,0,0,,,
465,jitne_hisadqaat_hikhairaat_hipakistan_hik_himusalman_hidete_hihain_hikoi_hiaur_himulk_hinahi_hideta_hirape_encapital_ennahi_hihai_hihamara_hi,0,0,0,0,,,
2674,bhai_hitu_himasi_hirape_encase_ense_hireha_hihogaya_hisach_hisach_hibata_hilagta_hitu_hinahi_hitu_hiaesa_enkar_hiskayga_hi,1,0,0,0,,,
566,mai_hiapse_hiya_enpuch_hiraha_hihu_hiki_hikya_hiharyana_hika_hirape_enkand_hikoi_hibjp_hiwala_hikiya_hihai_hikya_hijo_hibjp_hiko_hibar_enbar_ennishana_hi,0,1,1,1,,,
806,aap_hiseptember_en2017_restmeh_hichal_hiyeah_enreport_ening_hiaajtak_hiaur_hizee_ennews_enki_hiudhar_him_en,1,0,0,0,,,
1769,sr_hiagar_hibarud_hikam_hipad_hijaye_hitopic_enme_ento_enmhamara_hikhoon_hibardenge_himakkal_himila_hito_enin_engaddar_hion_enki_hipuri_hinasal_himira_hidene_hij_hi,1,0,1,0,,,
455,thanks_enmain_hianpadh_hihindu_hihu_hiaur_hihindu_hiladke_hirape_enkrte_hih_hikyuki_hinir_hi,0,1,1,0,,,
2740,urdu_hiye_hichoro_hiusa_enmain_hirape_enki_hitadad_himain_hishaded_enizafa_hijamhori_hilog_hiwomen_enki_hiizzat_hinahi_hikarty_hiaasma_hian_entum_hi,0,1,1,1,,,
432,hame_hito_enkab_hise_hibhakt_hiki_hiupadhi_himil_hichuki_hihai_hieven_enmy_enrelatives_enwho_enhate_enmodi_hiwhen_enstart_enlosing_hian_enargu_hi,0,1,1,1,,,
2850,iss_hidesh_hime_enrape_ento_enkar_hisakte_hihai_hilekin_hirapist_enko_hithappad_hinahi_himaar_hisakte_himom_en,0,0,1,1,,,
1824,pmln_hiitni_hibeghert_enparty_enhai_hik_hiye_hikal_hiko_hibhi_hiimran_hikhan_hipar_hirape_enka_hiilzam_hilagany_hik_hilye_hibhol_hisakti_hihai_hibe_hisharm_hinawaz_higanja_hi,0,1,1,1,,,
2731,ha_hitum_hisab_hiko_hisukun_hito_entha_hihi_enjab_hijaha_himargi_hirap_en,1,0,1,1,,,
2203,aapiye_hisabse_hijada_hihate_enfailte_hihai_hisabse_hipahle_hiinko_hisaaf_hikaro_hikhujliwal_hik_hisaath_hikaro_hiinka_hisatyanash_hi,0,0,0,0,,,
1774,ham_hihe_enjeetinge_hitum_hilog_hiapni_hiarmy_enko_hikhana_hido_enawam_hiko_hitoilets_hido_enor_hiapni_hiladies_enko_hiprotection_endo_enfrom_enra_hi,0,1,0,0,,,
266,samreen_hikashmir_hipandito_hiko_himara_higya_hiunki_hiladies_enke_hisaath_hirape_enhua_hikitne_hikasmiri_hipandit_hiterr_hi,0,1,1,1,,,
1511,news_entum_hito_enwahi_hiwest_hibangal_hime_enhi_enrahti_hiho_hitumhara_hikitne_hibaar_hirape_enhuaa_hihai_hi,0,1,1,0,,,
459,lagta_hihai_hiandhi_hibanibhakti_hiaur_hilopa_hihate_enne_hiaap_hiki_hisamaz_hipar_hiparda_hidaal_hidiya_hihai_hitabi_hisab_hilopa_hifans_enlagte_hihai_hi,0,0,0,0,,,
3404,malik_hihan_hiye_himonkey_enkalbhoshan_hibhi_hipakistani_hih_hina_hior_hiisy_hipakistan_hine_hihindusta_hi,1,1,1,1,,,
2058,app_ennay_hijo_hilink_endiya_hihai_hiuski_hibaat_hiki_hihai_himainay_hirape_enki_hitou_hiapp_enbaat_hikaro_himatt_hiwarna_hibuhat_hizaleel_hihoge_hi,1,0,0,0,,,
1705,main_hikab_hipopular_enho_higayi_hibhai_hiaur_hitu_himujhe_hihate_enkarti_hihai_hi,0,0,0,0,,,
1591,mediawillnotshowthis_enraju_hichandak_hiki_hipre_hiplanning_enbapuji_hiko_hijhute_hirape_encase_enmein_hifasane_hiki_hi,0,1,1,0,,,
49,jinki_hibetiyon_hiki_hizindagi_hiujad_higayi_hizaraa_hiun_hiparents_ense_hipoochho_hiunhe_hikya_hichahiye_higau_himata_hi,1,0,0,1,,,
1041,yeh_hikaisi_hikasmiriyat_hiso_hiapne_hikhoon_hisee_enholiday_enkhele_hilaanat_hihai_hiaise_hilogon_hipe_hijo_hiapne_hijawano_hiko_hichod_hike_hiterrorist_enke_himaiyad_himein_hijaaye_hi,0,0,0,0,,,
1153,raipur_higrp_enke_hiteen_hijavano_hipar_hirape_enki_hikosish_hika_hiarop_hivia_hi,0,0,0,0,,,
2326,janab_hisirf_hiup_enme_enrape_ennahi_hihota_hihai_higujrat_hime_en23_restbjp_hileader_hine_hi12_restladies_enke_hisath_hirape_enkiya_hitha_hiaandh_hibhakt_hi,0,1,0,1,,,
1828,haan_hii_enhate_enlaal_hirang_hi,1,1,1,1,,,
308,congress_hik_hinetao_hiya_enkah_hilo_hipoori_hicongress_hise_hiesi_hileye_hito_enjanta_highrina_hikarti_hihai_hiek_hi,0,0,0,0,,,
1783,100_restagreed_enkaash_hirohan_hiwinner_enhota_hibani_himanu_himanvr_hiwinner_enlayak_hinhi_hihai_hii_enhate_enkani_hitattoo_enko_hipasand_hikarte_hihai_hi,1,1,1,1,,,
1195,ab_hiaap_hitoh_hisikh_hibhayiyo_hik_hibhi_hipiche_hipad_higayi_hiall_enhate_endoes_enis_enbreed_enhate_enhum_hihindu_hibhi_hikisi_hise_hikam_hi,0,0,0,0,,,
670,43_restmahi_hiek_hihai_hiek_hitha_hiaur_hiek_hihi_enrhega_hicaptain_enword_entoh_hidedoge_hipr_hikhoon_hiki_hicaptaincy_enkahan_hise_hidoge_hidhoniourpride_en,0,0,0,0,,,
1552,paaji_hirape_enka_himazak_hini_hikrty_hibeshak_hichutyo_hik_himulak_hise_hihain_hipar_hipakistani_hihmsayo_hise_hikuch_hiseekh_hie_hilete_hihain_hihm_hi,0,0,0,0,,,
2508,hume_hinahi_hibanana_hiye_highatiya_hiarakshan_hihate_ento_enumeed_hijage_hiise_hihume_hinhi_hibanana_hi,0,0,0,0,,,
472,is_ensaale_hiisi_hike_hiagent_enko_hiphansi_hipe_hilatkana_hichahiye_hichauraahe_hi,1,1,1,0,,,
1584,koi_hinai_hitum_hiyaha_hianaa_hikashmir_himai_hikyu_hik_hitum_hisafe_ennai_hiho_hii_en,0,0,0,0,,,
1733,choddain_higay_enfir_hitoa_hiterrorism_enbandh_hinhi_hiaur_hibe_hibharr_hijaega_hirailway_entracks_enpe_hiaur_hibe_hibharay_hibharay_hibombs_himaarte_hipeerogay_hi,0,0,0,0,,,
972,aur_hiye_hibarun_hika_hicomeback_hishow_entha_hikoi_hiq_hinahi_hidekhna_hichahega_hilekin_hifir_hib_hinahi_hidekh_hipa_hi,0,0,1,0,,,
2122,filmoh_enwale_hilong_enso_hiacchi_hibatain_hikarte_hihain_hirishi_hikapoor_hiki_hiroz_hikisi_hina_hikisi_hiladki_hike_hisath_hiaffairs_hirape_enki_hikhabar_hiaati_hihai_hi,1,0,0,0,,,
585,i_enalso_enhate_enbani_hibut_enisse_higay_enlesbian_enka_hikya_hisambandh_hicheap_encomments_enhumlog_hikya_himars_ense_hiate_hihai_higay_enlesbian_enaur_hikuch_hi,1,1,0,1,,,
1048,randi_hika_hiaulaad_hirohingya_himuslim_entumhari_hisister_enka_hirape_enkiya_hikya_hijo_hiitna_hinfrat_hihai_hiunse_hihizda_hiki_hiaulad_hiinsaniyat_hitmhare_hinhi_hih_hi,1,1,0,1,,,
2892,a_enbas_hikaro_hiaunty_enaaplog_hika_higentle_enrape_enho_hichuka_hihai_hitumhare_hipass_hikya_hiproof_enhai_hiwoh_hidhikhau_hikiska_hib_hiopen_enlettwr_enmat_hidhikhau_hi,0,0,1,0,,,
257,gopalani_hibcoz_enaur_hikuch_hikaam_hidhandha_hihai_hihi_ennai_hitum_hilogo_hik_hipaas_hiterrorism_enfe_hi,1,0,0,0,,,
1723,tum_hibhi_hirape_enkarna_hibhanf_hikardo_hi,0,0,0,0,,,
1427,0_rest0_restlolzzz_enis_enpagal_hirundistani_hik_hitwitter_enpe_hikisne_hiaccount_enbanadiya_hichosde_hika_hiapni_hi,0,0,0,0,,,
439,woow_enwoow_enwoow_enaj_hisay_hialmost_en3500_restyears_hipehly_hi1_restjadugarni_hiki_hitajposhi_hihowe_hithi_hiisbeal_hinam_hiki_hius_hik_hib_hikartot_hikalay_hith_hi,0,0,0,0,,,
1758,shaik_hisaheb_hiowaisi_himusalmano_hiko_hisirf_hivote_hike_hiliye_hiistemal_hikarta_hihai_hielection_enke_hibaad_hiatm_envatm_hisab_hibhook_hihate_enhai_hi,0,0,0,0,,,
2459,main_hihar_hidin_hidua_himaangta_hiho_hiaur_hikapil_hisir_enka_hishow_endekh_hikar_hito_ensare_higum_hidoor_hiho_hihate_enhai_hi,1,0,0,0,,,
2955,kbhi_hiindia_enwalo_hiki_hisoch_hiliya_hikro_hijo_hiladkiyon_hike_hirape_enho_hirhe_hih_hiusse_hito_enrok_hinhi_hiskte_hiaap_hiaur_hibaat_hikrte_hih_hi,0,1,1,1,,,
273,ranveer_hisingh_hine_hirape_enkar_hidia_hiisliye_hi,0,0,0,0,,,
763,waow_enap_hik_hidesh_hiwasiyon_hik_hidil_hito_enna_hi,0,0,0,0,,,
205,aimnay_hialarm_enki_hitune_hilaga_hiloo_hiaik_hihaftay_himay_hinafrat_enhoo_hijayay_higi_hi,0,0,0,0,,,
1577,iit_enke_hinaam_hipar_hikalank_hiwahan_hirape_enkiya_hitha_hiaur_hiarrest_enbhi_hihua_hitha_hi,1,0,0,0,,,
2832,aarz_hikiya_hihai_histation_enpeh_higaadi_hiaksar_hilate_enhoti_hihai_histation_enpeh_higaadi_hiaksar_hilate_enhoti_hihai_hijisse_hilove_hihota_hihai_hiu_en,0,0,0,0,,,
1499,updates_enghatiya_higandagi_higairgujri_higulchharrey_hiudaney_hiwalo_hihatred_enpungi_hi,0,0,0,0,,,
